table,column,dtype,null_count,distinct_count
lead_log.csv,id,int64,0,8
lead_log.csv,lead_id,object,0,5
lead_log.csv,source_category,object,0,2
lead_log.csv,created_at,object,0,5
lead_log.csv,preferred_location,object,0,3
lead_log.csv,timezone_location,object,0,1
lead_log.csv,current_status,object,0,5
paid_transactions.csv,transaction_id,object,0,14
paid_transactions.csv,transaction_status,object,0,1
paid_transactions.csv,transaction_at,object,0,14
paid_transactions.csv,transaction_location,object,0,6
paid_transactions.csv,timezone_transaction,object,0,2
paid_transactions.csv,transaction_type,object,0,2
referral_rewards.csv,id,int64,0,3
referral_rewards.csv,reward_value,object,0,3
referral_rewards.csv,created_at,object,0,3
referral_rewards.csv,reward_type,int64,0,1
user_logs.csv,id,int64,0,29
user_logs.csv,user_id,object,0,9
user_logs.csv,name,object,0,7
user_logs.csv,phone_number,object,0,9
user_logs.csv,homeclub,object,0,6
user_logs.csv,timezone_homeclub,object,0,2
user_logs.csv,membership_expired_date,object,0,9
user_logs.csv,is_deleted,bool,0,2
user_referral_logs.csv,id,int64,0,96
user_referral_logs.csv,user_referral_id,object,0,78
user_referral_logs.csv,source_transaction_id,object,79,17
user_referral_logs.csv,created_at,object,0,96
user_referral_logs.csv,is_reward_granted,bool,0,2
user_referral_statuses.csv,id,int64,0,3
user_referral_statuses.csv,description,object,0,3
user_referral_statuses.csv,created_at,object,0,2
user_referrals.csv,referral_at,object,0,44
user_referrals.csv,referral_id,object,0,46
user_referrals.csv,referee_id,object,3,37
user_referrals.csv,referee_name,object,3,35
user_referrals.csv,referee_phone,object,0,33
user_referrals.csv,referral_reward_id,float64,38,3
user_referrals.csv,referral_source,object,0,3
user_referrals.csv,referrer_id,object,13,13
user_referrals.csv,transaction_id,object,13,27
user_referrals.csv,updated_at,object,0,40
user_referrals.csv,user_referral_status_id,int64,0,3
